GlobalCodeId,Category,CodeName,Code,Description,Active,CannotModifyNameOrDelete,SortOrder,ExternalCode1,ExternalSource1,ExternalCode2,ExternalSource2,Color
1,PROGRAMSTATUS       ,Requested,,,Y,Y,1.0,REQUESTED,,,,
2,PROGRAMSTATUS       ,Referred,,,N,Y,2.0,REFERRED,,,,
3,PROGRAMSTATUS       ,Scheduled,,,N,Y,3.0,SCHEDULED,,,,
4,PROGRAMSTATUS       ,Enrolled,,,Y,Y,4.0,ENROLLED,,,,
5,PROGRAMSTATUS       ,Discharged,,,Y,Y,5.0,DISCHARGED,,,,
6,ALLERGYSTATUS       ,ReviewedWithClient,,Reviewed with client,Y,Y,1.0,,,,,
7,ALLERGYSTATUS       ,UnableToReview,,Unable to review with client,Y,Y,2.0,,,,,
10,DOCUMENTTYPE        ,Native,,,Y,Y,1.0,NATIVE,,,,
11,DOCUMENTTYPE        ,Image,,,Y,Y,2.0,IMAGE,,,,
12,DOCUMENTTYPE        ,View Only,,[Description] - 1732,Y,Y,4.0,VIEWONLY,,,,
14,DOCUMENTTYPE        ,Letters,,,Y,Y,3.0,Letters,,,,
15,DOCUMENTTYPE        ,Medication Consent,Medication Consent,,Y,Y,,,,,,
17,DOCUMENTTYPE        ,Scanned Document,Scanned Document,Used to designate ImageServer based documents,Y,Y,99.0,,,,,
18,DOCUMENTTYPE        ,External Document,ExternalDocument,,Y,Y,,EXTERNALDOCUMENT,,,,
20,DOCUMENTSTATUS      ,To Do,,,Y,Y,1.0,TODO,,,,
21,DOCUMENTSTATUS      ,In Progress,,,Y,Y,2.0,INPROGRESS,,,,
22,DOCUMENTSTATUS      ,Signed,,,Y,Y,3.0,SIGNED,,,,
23,DOCUMENTSTATUS      ,Cancelled,,,Y,Y,4.0,CANCELLED,,,,
24,DOCUMENTSTATUS      ,Ready to Sign,,,Y,Y,5.0,,,,,
25,DOCUMENTSTATUS      ,To Be Reviewed,,,Y,Y,,,,,,
26,DOCUMENTSTATUS      ,Error,ERROR,,Y,Y,,,,,,
30,PHONETYPE           ,Home,,,Y,Y,1.0,HOME,,,,
31,PHONETYPE           ,Business,,,Y,Y,2.0,BUSINESS,,,,
32,PHONETYPE           ,Home 2,,,Y,Y,3.0,HOME2,,,,
33,PHONETYPE           ,Business 2,,,Y,Y,4.0,BUSINESS2,,,,
34,PHONETYPE           ,Mobile,,,Y,Y,5.0,MOBILE,,,,
35,PHONETYPE           ,Mobile 2,,,Y,Y,6.0,MOBILE2,,,,
36,PHONETYPE           ,Fax,,,Y,Y,7.0,FAX,,,,
37,PHONETYPE           ,School,,,Y,Y,8.0,SCHOOL,,,,
38,PHONETYPE           ,Other,,,Y,Y,9.0,OTHER,,,,
50,MESSAGESTATUS       ,Read,,,Y,Y,1.0,READ,,,,
51,MESSAGESTATUS       ,Not Read,,,Y,Y,2.0,NOTREAD,,,,
60,MESSAGEPRIORITY     ,Normal,,,Y,Y,1.0,NORMAL,,,,
61,MESSAGEPRIORITY     ,Caution/Alert,,,Y,Y,2.0,CAUTION,,,,
62,MESSAGEPRIORITY     ,Urgent,,,Y,Y,3.0,URGENT,,,,
70,SERVICESTATUS       ,Scheduled,,,Y,Y,1.0,SCHEDULED,,,,
71,SERVICESTATUS       ,Show,,,Y,Y,2.0,SHOW,,,,
72,SERVICESTATUS       ,No Show,,,Y,Y,9.0,NOSHOW,,,,
73,SERVICESTATUS       ,Cancel,,,Y,Y,5.0,CANCEL,,,,
75,SERVICESTATUS       ,Complete,,,Y,Y,4.0,COMPLETE,,,,
76,SERVICESTATUS       ,Error,,,Y,Y,10.0,,,,,
80,ALERTTYPE           ,Authorization,,,Y,Y,1.0,AUTHORIZATION,,,,
81,ALERTTYPE           ,Documents,,,Y,Y,2.0,DOCUMENTS,,,,
82,ALERTTYPE           ,Treatment Plan,,,Y,Y,3.0,TXPLAN,,,,
83,ALERTTYPE           ,Periodic Review,,,Y,Y,4.0,PERIODICREVIEW,,,,
84,ALERTTYPE           ,Finance,,,Y,Y,5.0,FINANCE,,,,
85,ALERTTYPE           ,Medication,,,Y,Y,6.0,MEDICATION,,,,
86,ALERTTYPE           ,Hospitalization,,,Y,Y,7.0,HOSPITALIZATION,,,,
90,ADDRESSTYPE         ,Home,,,Y,Y,1.0,HOME,,,,
91,ADDRESSTYPE         ,Office,,,Y,Y,2.0,OFFICE,,,,
92,ADDRESSTYPE         ,Temporary Residence,,,Y,Y,3.0,TEMPRESIDENCE,,,,
93,ADDRESSTYPE         ,Other,,[Description] - 1732,Y,Y,4.0,,,,,
100,EPISODESTATUS       ,Registered,,,N,Y,1.0,REGISTERED,,,,
101,EPISODESTATUS       ,In Treatment,,,N,Y,2.0,INTREATMENT,,,,
102,EPISODESTATUS       ,Discharged,,,N,Y,3.0,DISCHARGED,,,,
110,UNITTYPE            ,Minutes,,,Y,Y,1.0,MINUTES,,,,
111,UNITTYPE            ,Hours,,,Y,Y,2.0,HOURS,,,,
112,UNITTYPE            ,Days,,,Y,Y,3.0,DAYS,,,,
113,UNITTYPE            ,Items,,,Y,Y,4.0,ITEMS,,,,
114,UNITTYPE            ,mg,,,Y,Y,5.0,,,,,
115,UNITTYPE            ,Miles,,,Y,Y,6.0,,,,,
116,UNITTYPE            ,Units,,,Y,Y,7.0,,,,,
117,UNITTYPE            ,Trips,,,Y,Y,8.0,,,,,
118,UNITTYPE            ,Injections,,,Y,Y,9.0,,,,,
119,UNITTYPE            ,Encounters,,,Y,Y,10.0,,,,,
120,AUTHUNITTYPE        ,Minutes,,,Y,Y,1.0,MINUTES,,,,
121,AUTHUNITTYPE        ,Hours,,,Y,Y,2.0,HOURS,,,,
