GlobalSubCodeId,GlobalCodeId,SubCodeName,Code,Description,Active,CannotModifyNameOrDelete,SortOrder,ExternalCode1,ExternalSource1,ExternalCode2,ExternalSource2,Bitmap,BitmapImage,Color,RowIdentifier,CreatedBy,CreatedDate,ModifiedBy,ModifiedDate,DeletedBy,RecordDeleted,DeletedDate
1,5380,All Statuses,,,Y,Y,1.0,,,,,,,,E3379F0C-5FC7-46CB-BE03-2AA3796FC300,sa,2010-06-28 22:59:13.510,sa,2010-06-28 22:59:13.510,,,
2,5380,To do,,,Y,Y,3.0,,,,,,,,24062A07-8CC2-4AD3-B9D1-AFC3AF7EB143,sa,2010-06-28 22:59:13.510,sa,2010-06-28 22:59:13.510,,,
3,5380,In Progress,,,Y,Y,4.0,,,,,,,,CBA7BD8F-4A76-42B5-BD88-60B791354426,sa,2010-06-28 22:59:13.510,sa,2010-06-28 22:59:13.510,,,
4,5380,Signed,,,Y,Y,5.0,,,,,,,,DB8AF32B-DFC6-49CC-BB94-19BF2896C8E9,sa,2010-06-28 22:59:13.510,sa,2010-06-28 22:59:13.510,,,
5,5380,Completed,,,Y,Y,6.0,,,,,,,,30EF5A00-9CC8-453B-A730-958175F574CF,sa,2010-06-28 22:59:13.510,sa,2010-06-28 22:59:13.510,,,
6,5380,To Co-Sign,,,Y,Y,7.0,,,,,,,,ACF429EF-6B99-45AE-824E-645E19FFA5F7,sa,2010-06-28 22:59:13.510,sa,2010-06-28 22:59:13.510,,,
7,5380,"Signed, Completed",,,Y,Y,2.0,,,,,,,,1EC761EF-49E1-4C39-9351-D70BEB907001,sa,2010-06-28 22:59:13.510,sa,2010-06-28 22:59:13.510,,,
8,5380,"Not-Signed, Completed",,,Y,Y,8.0,,,,,,,,067B2FE1-58B1-499A-BAB9-D496C6AD3337,sa,2010-06-28 22:59:13.510,sa,2010-06-28 22:59:13.510,,,
9,5380,To Sign,,,Y,Y,9.0,,,,,,,,BF28B9BC-470B-4105-878A-3E146747FAD4,sa,2010-06-28 22:59:13.510,sa,2010-06-28 22:59:13.510,,,
10,5381,Due in X days,,,Y,Y,1.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 16:25:47.167,shc1979,2010-06-16 16:25:47.167,,,
11,5381,Past Due,,,Y,Y,2.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 16:25:56.640,shc1979,2010-06-16 16:25:56.640,,,
12,5381,Due within 1 week and Past Due,,,Y,Y,3.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 16:26:01.197,shc1979,2010-06-16 16:26:01.197,,,
13,5381,Due within 14 days,,,Y,Y,4.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 16:26:04.980,shc1979,2010-06-16 16:26:04.980,,,
14,5381,Due within 14 days and Past Due,,,Y,Y,5.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 16:26:09.727,shc1979,2010-06-16 16:26:09.727,,,
15,5381,Due within 5 weeks,,,Y,Y,6.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 16:26:12.590,shc1979,2010-06-16 16:26:12.590,,,
16,5381,Due within 3 months,,,Y,Y,7.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 16:26:15.103,shc1979,2010-06-16 16:26:15.103,,,
17,5381,Due greater than 3 months,,,Y,Y,8.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 16:26:20.493,shc1979,2010-06-16 16:26:20.493,,,
